Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
NJ,Poltide valmistamine,16891
NT,Fabric expansion joint,16866
EE,Andmesidevorgu valjaehitamine Balti Elektrijaama segusolme hoones,16866
ER,Ehitusmaterjalide ostmine,16863
ER,Elektrikomponentide ostmine.,16828
NT,SULGEARMATUURI OST,16790
NJ,Auvere olimahuti tuhjendamine,16764
NJ,Enefit Energiatootmine ASi keemialabori mootevahendite kalibreerimine,16756
NJ,Generatoori harjade ostmine ,16734
NJ,Plaatide valmistamine,16723
EK,Soelutud kuiva liiva ostmine,16713
NT,Sulgearmatuuri ost,16712
NJ,Pumpade varuosade KSV ostmine,16708
ER,Teraslehe S355J2+N ostmine.,16703
ER,Teras- ja malmvalu ostmine.,16670
ER,Mahiste sektsioonide PE 162-6K ostmine,16615
NS,TK-6A-2 soojusisolatsiooni remont,16607
NT,Mustmetallist toodete ost,16598
NJ,Isikukaitsevahendite ostmine,16575
NJ,Tihendite ostmine,16546
NJ,Balti elektrijaama tuhavalja ulevoolukaevu nr 1 uleviimise projekteerimine,16510
ER,Heksagonaalvorgu ostmine.,16507
NJ,Varuosade ostmine,16459
ER,Kaabliredeli ostmine,16454
ER,Metallkonstruktsioonide varvimise teenuse ostmine,16354
ER,Raamlepingu solmimine kinnitusvahendite ostmiseks,16323
NT,Tehase Enefit280 raadioisotoopaparaatide (RIA) kiirgusseadeldiste (kiirgurite) tehnilise hoolduse teenuse osutamiseks,16322
NT,Elektrivahendite ostmine,16312
NJ,Viie (5) tasapinnalise metallist sulguri instrumentaalne uurimine raudbetoonist ulevoolupaisul Kulgus. mis asub aadressil: Kulgu tamm. Narva,16256
NJ,Balti elektrijaama diiselgeneraatorite DG-1 ja DG-2 uhekordne tehniline hooldus. ,16256
ER,Ruhnu diiselelektrijaama kutusemahutite umberprojekteerimine,16256
NJ,Tommitsavahendite ostmine,16226
ER,Terastoodete ostmine,16190
NJ,Eesti elektrijaama tuhavalja alumise settetiigi tammi loigu kindlustamine,16185
ER,Torustikuuhenduste ostmine.,16173
EE,"Iru elektrijaama sise tarbijate kutte magistraaltorustike umberuhenduste
teostus",16129
NT,Pumbaosade ostmine,16119
NJ,Kettide tuup 2NP-50.8-526. GOST 21834-87 ostmine,16064
ER,Terastoodete ostmine,16064
NJ,Laagrite ostmine,16053
NJ,Tulekindla segu ostmine,16053
NJ,Vibrovarraste ostmine,16043
ER,Terastoodete ostmine.,16042
ER, Elektrikilbi valmistamine. Ostmine,16009
NJ,Tihendite Klingersil C4500 3mm ning toppendite ostmine ,15979
NT,Kompensaatorite DU1400 valmistamine,15951
NJ,Eesti Elektrijaama korstnale nr 1 (?? nr 1) ajutise turvavorgu paigaldamisega seotud edasilukkamatud tood,23676
EK,Elektrimootoriga hudropumba ostmine,23563
ER,Teraslehe 100 S355J2+N ostmine,23525
ER,Metall. Ostmine.,23393
ER,KSB armatuur. Osmine.,23355
ER,Elektrimootorite mahiste sektsioonide ostmine,23336
ER,Terastoodete ostmine,23258
NJ,Gaaside ostmine ,23186
EE,Insight - Asset Management for JIRA (500 users) ,23072
EK,Olmehoone ruumide remonditeenuse ostmine,23016
NJ,Kytola varuosade ostmine,22997
NJ,Sulgearmatuuri ostmine,22940
NT,Betoonist sillutisriba rajamine piki tulekustutuspumpla hoone umbermootu Eesti Energia olitoostus AS-i mahutipargis,22932
ER,Keevitusmaterjalide ostmine,22903
ER,Elektrikomponentide ostmine,22802
ER,Mahuti otste ostmine,22756
NJ,Balti elektrijaama peakorpuse hoone ruumide remont tahisel 8.0 m. read ?-?. teljed 91-94,22643
ER,Konveierite pinguti ostukomponendide ostmine ,22626
ER,Teraste ostmine.,22626
NJ,Filter bag size 4/2.2. for filter type FS.22. Aramid - 150 pcs,22620
ER,Seadmete ostmine.,22620
ER,Haavelduskambri remondi ja hoolduse raamlepingu solmimine,22620
EK,Esmaabi valjaope (16 h) ja taiendope (6 h) koolituse ostmine,22616
EK,Tooriiete pesemise teenuse ostmine,22616
EK,Trukiste ostmine,22616
EK,Liiklusmarkide ostmine koos paigaldusega,22616
EK,Pulbitorustiku labipesemise ja puhastamise teenuse ostmine (II kord),22616
EK,Enefit Kaevandused AS taitematerjali laboratoorse katsetamise teenuse ostmine,22616
EK,Pulbitorustiku labipesemise ja puhastamise teenuse ostmine,22616
EK,Trukiste ostmine,22616
EK,Liiklusmarkide ostmine koos paigaldusega,22616
EK,Narva karjaari tehnoloogilise tee asfaltkatte remondi omanikujarelevalve teenuse ostmine,22612
ER,Varvide ostmine,22609
ER,Eriteraste ostmine,22609
ER,Terastoodete ostmine,22603
EE,Eksperthinnang Iru Elektrijaama jaatmeenergiaploki eeldatava keskkonnamoju muutuse osas poletatava jaatmekoguse suurenemisel kutuse vaiksema kuttevaartuse tottu ,22601
EK,Narva karjaari Viivikonna laadimishoone seina remonditoode teostamine,22601
NJ,Eesti Elektrijaama kesklao valjas asuva telfri kaitsekatete. kraanateede ja talade varvimine,22595
NJ,Sulgearmatuuri ostmine,22585
ER,Chesterton kattematerjali ostmine,22571
NJ,Seats. pos.3. seal 609F/48MP (John Crane) ,22563
NJ,Level switches Soliphant (Endress+Hauser) 15 tk,22550
NJ,Varuosade valmistamine,22545
ER,Terastoodete ostmine,22529
NT,Lintkonveieri lindiga ja rullikutega ostmine,22507
NJ,Tankvision tank scanners NXA820 (Endress+Hauser)  ,22507
NT,Pumbaosade ost,22496
NJ,Tihendite ostmine,22469
NJ,Sulgearmatuuri ostmine,22469
ER,Terase S355J2 ostmine,22454
NJ,Tulekindla segu ostmine,22432
NJ,Balti Elektrijaama ploki nr  12 katlajaoskonna peahoone katusekatte puhastamine.,22432
ER,Kuumvaltsitud EN10210 torude ostmine.,22413
ER,Teraste ostmine,22412
NJ,Metallitoodete valmistamine,22394
ER,Varvid HEMPEL. Ostmine,22382
ER,Teraste ostmine.,22380
EK,Kraanateenuse ostmine,22375
NJ,Varuosade valmistamine,22349
NJ,Diiselsoojapuhurite rentimine,22329
ER,Varvid HEMPEL . Ostmine,22327
NJ,Tuhaarastusaparaatide ostmine,22318
NJ,Varuosade valmistamine,22318
NJ,Tulekindla segu ostmine,22300
EE,Iru elektrijaama autokaalude IT-18x3/60  komplekti (2 tk) hooldus- ja remonttood ,22281
NT,Kontroll ja motteseadmete ost,22260
EK,Votmete valmistamine (II kord),22243
EK,Piduri stendi hooldus- ja remonditeenuse ostmine,22243
EK,Defektoskoopia ja balanseerimine teenuse ostmine,22243
NJ,Balti elektrijaama vana masuudihoidla pinnase puhastamise lahteulesande ja tooprojekti ajakohastamine,22243
ER,ulegabariidiliste autovedude teenuse ostmine,22243
EK,Veduri rattamootoriplokkide remonditeenuse ostmine,22235
NJ,Flowmeter Promass 83F50-AD2SAA5EAEEN (Endress+Hauser),22232
ER,Varuosade ostmine.,22201
NT,Reaktori rullitugi valmistamine,22190
EK,TEM veduri motoplokkide remonditeenuse ostmine,22186
ER,Muramatt ja liim.Ostmine,22182
NT,LYTX-236B tulekindla paberi ost,22149
NJ,Defektse tuletorje veetorustikuloigu asendamine olitehase vanas administratiivolmehoones,22092
NJ,Eesti elektrijaama vee ettevalmistusteenistuse keemilise veepuhastuse osakonna loigus demineraliseeritud vee segatoimega filtrite ringlustoru asukoha muutmine,22089
EK,Lohketoode mojutegurite mootmise teenuse ostmine,22055
ER,Kutteseadmed.Ostmine,22045
NJ,Laagrite ostmine,22032
ER,Terastoodete ostmine,21978
EK,Kutuselisandi AdBlue pumpamise komplektide ja nende varuosade ostmine,21968
ER,Varvid HEMPEL. Ostmine,21964
NJ,Tooriistainventar,21960
NJ,Berco varuosade ostmine,21938
NJ,Sulgearmatuuri ostmine,21928
EK,Estonia kaevanduse sademeveetorustiku survepesu,21866
EK,Enefit Karjaari 35 kV jaotusseadme releekaitse. automaatika ja telemehaanika pingestamiseelse kontrolli teenuse ostmine,21866
NJ,Tooprojekti koostamine talakraana montaa�iks ja kraanaaluste teede paigalduseks,21866
EK,Purgimisteenuse osutamine,21866
ER,Kummi ostmine,21853
EK,Keevitusseadmete ostmine,21828
NJ,Veeanaluuside teostamine ,21824
NJ,Balti elektrijaama territooriumil asuva laohoone varavate remont ,21791
ER,Terastoodete ostmine,21725
ER,Elektrikomponentide ostmine,21711
NJ,Seadmete BuRKERT ostmine,21703
NJ,Mahutipargi territooriumil. peapumpla korval asuva betoonvanni rekonstrueerimise tooprojekti koostamine,21681
NJ,Sulgearmatuuri ostmine,21679
NJ,Varuosade valmistamine,21678
ER,Emailtraadi ostmine,21653
ER,Teraste S235JR ostmine,21651
ER,Elektrikomponentide ostmine,21650
NJ,Keemiliste reagentide ja komplekti varvide standardide ostmine ,21616
NJ,Kaitsevahendite ost,21609
ER,Varvi ostmine.,21586
ER,Elektrimootori ankru sektsioonide ostmine ,21557
ER,Terastoodete ostmine.,21534
NJ,Varuosade SWAN ostmine,21527
EK,Peale ehitise noole elementide ostmine,21489
NT,Tulekindlade materjalide ost,21489
NT,SEW-Eurodrive osade ostmine,21466
NJ,Sulgearmatuuri ostmine,21418
ER,Elektrikomponentide ostmine,21389
ER,Teraslehe S355J2 ostmine,21340
ER,Terase S355J2 ja C45 ostmine,21229
NJ,Me?hanical seals BURGMANN. voi samavaarne - 10 tk,21210
NJ,Varuosade valmistamine,21187
EK,Hingamisaparaadi R-30 varuosade ostmine,21187
ER,Terase S355J2+N ostmine,21172
NJ,Kulgu tammi piirivalveposti uue piirde valveseadmete projekteerimine ja paigaldus,21147
ER,Raamlepingute solmimine toostuslike olide ja maarete ostmiseks,21138
NJ,Varuosade WARMANN ostmine,21131
NJ,Fosfaadilahuse valmistamise ja hoidmise seadmete paigaldamine BEJ energiaplokis nr 12.,21112
NJ,Reduktori remont,21112
NJ,AKM OLR Remote mechanical oil level - 3 tk,21093
EK,Raudteeroobaste defektoskopeerimine ultraheli meetodil,21082
NJ,Laagrite ostmine,21082
NJ,Sulgearmatuuri ostmine,21027
EE,Olemasolevate Citrix litsentside pikendamine,21016
NJ,Balti Elektrijaama katlajaoskonna peahoone katusekatte puhastamine,20944
NJ,Laagrite ostmine,20931
NJ,PCB console (SICK) - 2 tk,20886
NJ,Voltage control equipment,20871
NJ,Akupatareide ostmine ,20866
NJ,Gaaside ostmine,20863
ER,Varvid Tikkurila. Ostmine,20862
NJ,Balti elektrijaama  autokaalude Scalex 1700/1000P remont,20818
EE,Tootsi Tuulepark: Turbavaru maaramine Pooravere turbatootmisalal,20810
EE,Google Maps API for Work Premium Plan ,20762
NJ,Eesti elektrijaama abikorpuse sookla lifti�ahti kessooni ja pumba paigaldamine,20735
EK,Rataste montaa�ipinkidele hooldus- ja remonditeenuse ostmine,20735
ER,Vanametall,20735
ER,Vanametalli muuk.,20735
ER,Vanametalli muumine oktoobrikuus 2016,20735
ER,Vanametalli muumine.,20735
ER,Vanametalli muumine,20735
NT,Metalltoodete valmistamine,20731
NJ,Varuosade valmistamine,20729
NJ,Vortex flowmeter Prowirl D 200 Endress+Hauser,20715
NJ,Seadmed Endress+Hauser ostmine,20705
EK,Puude. vosa ja peenmetsa raie,20629
NJ,Level switch Soliphant T FTM Endress+Hauser - 13 tk,20619
NJ,Keemiliste reagentide ostmine,20589
ER,Kuumvulkaniseerimise teenuse ostmine.,20584
ER,Erikinnitusvahendite ostmine,20584
ER,Elektrikomponentide ostmine,20558
NJ,Sulgearmatuuri ostmine,20516
ER,Terastoodete ostmine,20496
NJ,Pumbade varuosade ANC-130 ja 359D90 ostmine ,20494
ER,Ehitustood,20465
NJ,Varuosade Promass 83F ostmine. Endress+Hauser,20462
NJ,Sempel 312 L klapi varras - 2 tk,20456
NJ,�Narva linna kaugkutte magistraaltorustiku rekonstrueerimine. II etapp. RH194182� toode omanikujarelevalve teostamine ,20358
JV,Saare maakond. Poide vald. Muraja kula. Manni kinnistu elektrivarustus (LP3900),20320
ER,Teraste S235JR ostmine.,20289
ER,Elektrikomponentide ostmine,20288
EK,Veekorvalduskanali puhastusteenuse ostmine,20283
EK,ohksoojuspumpade ostmine koos paigaldusega,20279
ER,Kaabel. muhvid. Ostmine.,20267
ER,Keevitusaparaatide ostmine,20264
NJ,Elektirkomponendite ostmine,20240
NJ,Varuosade TESTO ostmine,20231
ER,Mikroommetr RMO30TW     1 tk,20219
ER,Varvitud pleki ja profiili ostmine.,20212
NJ,?2000-100-2 pumpade varuosade ostmine,20192
NJ,?2000-100-2 pumpade varuosade ostmine,20185
NJ,Varuosade valmistamine,20170
EK,Sammuvate ekskavaatorite kummitehniliste toodete ostmine,20154
NJ,Signaaltablo TSS-99 - 60 tk,20132
NT,Pumbaosade ostmine,20121
NJ,Enefit 140 montooripunkti ruumi remonditood,20117
EE,Iru elektrijaama deaeraatori olemasoleva siibri kaugjuhtimise tagamine,20094
ER,Mulla ja killustiku ostmine,20090
ER,Mulla ja killustiku ostmine -2,20090
NJ,"83F40-XME0/0 (83F40-AD2SAADEAEEN) Promass 83F40. DN40 1 1/2""  Endress+Hauser",20080
NJ,Eesti Elektrijaama peahoone elektrikilbi ruumide tulekindlate metalluste asendamine,20056
EK,Videokaamerate ostmine,20041
NJ,Eesti Elektrijaama korstnale nr 2 (?? nr 2) edasilukkamatud tood,19981
ER,Elektrikomponentide ostmine,19977
NJ,Varuosade SULZER ostmine,19966
NJ,Varuosade valmistamine,19936
NJ,Keemiliste reagentide ostmine,19909
ER,Teraste ostmine.,19908
EK,Siltide ja kleebiste ostmine,19823
NT,Plahvatuskindla kaasaskantava raadiosaatja ostmine,19793
EK,Siltide ja kleebiste ostmine,19782
NJ,Flowmeter 83F40-AD2SAA31AEEK (Endress+Hauser) 1 tk,19737
NJ,Kutuse pihusti varuosade ostmine,19736
ER,Teraste ostmine.,19689
ER,Ehitusmaterjalide ostmine,19658
NJ,Pumba varuosade ostmine,19612
EE,Ruhnu PV seadmete meretransportt,19604
EE,Sihtotsingu taisteenuse tellimine,19604
ER,Terase C45 ostmine.,19604
EK,Talihooldusteenuse ostmine Viivikonna asula ja Viivikonna karjaari uhendavat teel,19604
ER,Vanametalli muuk.,19604
EK,Tehnoloogilise tee asfaltkatte remonditeenuse omanikujarelevalve teenuse ostmine,19604
NJ,Diiselsoojapuhurite rentimine,19580
ER,Terastoodete ostmine,19558
ER,Keevitusmaterjalide ostmine,19549
NJ,Kaitsevahendite ost,19530
ER,Elektrikomponentide ostmine,19503
NJ,Ajamid Auma,19502
NJ,Rehvide 620/70 R26 XM27 Michelin ostmine ,19453
NJ,Roostevaba vorgu ostmine,19453
NJ,Siibrite ostmine,19453
NJ,Mitmekihiliste paneelide ja �Rannila� tuupi metallprofilist nurgaelementide taastamise ja kinnitamise avariiremondi tood,19416
ER,Valisohu seiremootmiste teostamine,19388
NJ,Berco varuosad ostmine,19367
ER,Erikinnitusvahendite ostmine.,19348
EE,Liiva laborianaluuside teostamine,19340
NJ,Varuosade Grundfos ostmine,19295
ER,Teraste ostmine.,19237
EK,Estonia kaevanduse 16. pumpla kaevandusvee kraavi puhastamisteenuse ostmine,19227
NJ,VPP-kassetide vesiniksulfiidi analusaatori jaoks ostmine,19227
NT,Eriotstarbeliste toolide ost,19227
ER,Laagrite ostmine,19204
NJ,Flowmeter Promass 83F25-AD2SAA3AAEEN (Endress+Hauser) ,19189
NJ,Control and monitoring moduls Raychem (Pentair),19177
NJ,Auvere EJ bagerpumpla tuha vastuvotupunkri aspiratsiooniks vajalike materjalide ja varuosade ostmine. NEDERMAN,19039
NJ,Antiscalant DS 154 voi PermaTreat PC-191T ostmine,19039
ER,Raamlepingute solmimine kummitoodete ostmiseks,19012
NJ,Varuosade valmistamine,19001
ER,Terastoodete ostmine.,18995
ER,Terastoodete ostmine,18983
ER,Teraste AISI304 ja S355J2 ostmine,18968
NJ,Balti Elektrijaama peahoone abiruumi remont (margil 8.0 rida ?-?. telg 94-95),18907
NT,Sulgearmatuuri ostmine,18905
NJ,Eesti Elektrijaama energiaploki nr 1 ja 2 vahelise magistraalgaasikaigu ja korstna uhendusvuukide remonditood energiaploki nr 1. 2. 3 ja 4 magistraalgaasikaigu poolt,18850
ER,Vanametalli muuk juuni 2016 a.,18850
EK,Jahvatatud savi ostmine (II),18850
NJ,olitehase kesklao laohoidjate ruumi poranda soojustamine,18850
NJ,Elektritooriistade ning varuosade ostmine,18817
NT,Kontroll ja motteseadmete ost,18809
NJ,Balti Elektrijaama 4. jarjekorra turbiinijaoskonna sildkraana nr 3 abitostmise elektrimootori vahetamine,18767
NJ,Porandahooldusmasina ostmine,18703
NJ,Velocity seismoprobe. code 9200-06-07-03-00 (Bently Nevada)  -  5 pcs,18699
NJ,Berco varuosad ostmine ,18672
NJ,Retordi rulli valmistamine,18662
ER,Kuivsegud  Alaks 1200 ??,18662
EK,Valtsitud varvilise metalli ja roostevaba terase ostmine,18623
ER,Elektrikomponentide ostmine,18602
NJ,Varuosade valmistamine,18579
NJ,Puukentsefaliidi vaktsiini TICOVAC 0.5 ml ostmine,18570
NJ,Poordsiibri Dn 400 Pn10 aarikutevahelise pneumoajamiga ,18548
ER,Terastoodete ostmine,18520
EK,Videoregistraatorite ostmine,18514
NJ,Eesti Elektrijaama keemilise veepuhastuse jaoskonna OBK hoone poluelektroluudi segistite ja koagulandi mootenoude ruumide remont,18473
NJ,Eesti Elektrijaama korstna nr 2 monitooringuruumi katuse remont (korgusmark 95.00 m),18473
NJ,olipoleti ostmine,18473
NJ,Polevkivioli bensiinifraktsiooni puhastusploki ehitusprojekti Nr. 16320-0037 umberprojekteerimine,18473
NJ,"Taper rollers ID adapter 5-7/16"" (KSB) - 7 tk",18458
ER,Autotostuki teenuse osutamine,18451
EK,Raudteeroobaste defektoskopeerimise ultraheli meetodil teenuse ostmine,18447
ER,Elektrikomponentide ostmine,18434
ER,Terastoodete ostmine,18433
ER,Terastoodete ostmine,18426
ER,Kuulkraani DN400 PN25 ostmine.,18413
ER,Elektrikomponentide ostmine,18407
NJ,Diiselsoojapuhurite rentimine ,18390
NJ,Enefit Energiatootmine AS KET- 2 labipaasususteemide soetamine ja paigaldus,18379
ER,Gratings + Clamps / Keevisrestide ostmine,18362
ER,Terastoodete ostmine,18333
ER,Amortisatsiooniprusside ostmine ,18288
ER,Terastoodete ostmine,18241
EE, JPP katla Clyde Bergemanni puhastusseadme SCS-300 voolikute tarne,18217
EE,Clyde Bergemanni puhastusseadme SCS-300 voolikute (2 tk) ostmine,18217
ER,Terastoodete ostmine,18191
EK,Reduktorite ostmine,18134
ER,Terastoodete valmistamine jooniste alusel,18096
EE,Iru elektrijaamas soolhappe mahutite varvimine,18096
ER,Laagrite ostmine,18096
EK,Viivikonna tektoonilise rikke geoloogilise uuringu programmi koostamise teenuse ostmine ,18096
NT,TOPENDI OST,18096
NJ,Uurimistood Balti Elektrijaama tuhavalja nr 1 ja nr 2 vee kroomiga saastumise pohjuste ja allikate leidmiseks,18092
ER,Vundamentide ehitamine,18088
EK,Veega taitunud kaevanduste pohjaveeseire teenuse ostmine,18085
NJ,Laagrite ostmine,18061
NT,Pneumaatiliste kulmikute ostmine,18039
NJ,Lukksepatooriistade ostmine,18029
ER,ulegabariidiliste autovedude teenuse ostmine,18021
ER,Terase S355J2 ostmine,18009
EE,Framework agreements for legal services in Latvia and Poland,18002
NJ,Nugasiibrite ja aurutorustikute temperatuurimuutuste naitajate ostmine ,17983
ER,Elektrikomponentide ostmine,17962
NJ,Keevitustarvikute ostmine,17958
NJ,Transformaatorioli ??. ?? 38.1011025-85 (muudatustega 1-5) koguses 4000 liitrit ostmine,17945
ER,Terase S235JR ostmine,17941
ER,Terastoodete ostmine,17918
EK,Reoveepuhasti tagavore ostmine ,17908
NJ,Eesti elektrijaamas tuhavalja �ahtveelaskmete 1.2 metallkonstruktsioonide korguse kasvatamise projekteerimine,17908
ER,Terastoodete ostmine,17882
ER,Laagrite ostmine,17842
NJ,Actuator FQ8. F07 fale safe. 230VAC. 50Hz (Bernard) - 2 tk,17832
ER,Elektrimootori PE 162-6K mahiste sektsioonide ostmine,17798
NJ,Enefit Energiatootmine ASi joutransformaatorite olis lahustunud gaaside kromatograafiline analuus,17794
NJ,Poltide valmistamine,17794
NJ,Keemilise reagentide ostmine,17783
NJ,Transformaatorioli ostmine,17777
ER,Kraanateenuse osutamine,17772
NJ,Laagrite ostmine,17736
ER,Elektrikomponentide ostmine,17734
NJ,Enefit Energiatootmine AS elektriseadmetele paigaldatud katkematu toite allikate (UPS) tehniline hooldus ja remont,17719
NJ,Tooprojekti valjatootamine ajamisusteemi rekonstrueerimiseks Enefit140 paigaldiste ohujahutitel ?? ,17719
ER,EEJ 3. ploki teraskorstna ja gaasikaikude varviparandustoode ostmine.,17719
NJ,Berco varuosade ostmine,17717
ER,Terastoodete ostmine.,17691
ER,Raamlepingu solmimine termopesu ostmiseks,17681
ER,ulegabariidiliste autovedude teenuse ostmine,17681
NJ,Balti Elektrijaama tuletorje veetorude remont 5. kaablisektsioonis,17644
ER,Metall .Ostmine,17644
ER,Isikukaitsevahendite ostmine,17637
NJ,Varuosade valmistamine,17625
ER,Terastoodete ostmine,17623
ER,Elektrikomponentide ostmine,17614
NJ,Varuosade valmistamine,17549
ER,umarteraste ostmine.,17546
NJ,Varuosade valmistamine,17546
NJ,Keevitusvahendite ostmine,17481
JV,Tartumaa Kambja vald Torvandi alevik Lao tee 2 liitumisuhenduse ehitustood LP6309,17479
ER,Teraste ostmine,17471
NJ,Varuosade valmistamine,17417
NJ,Varuosade valmistamine,17417
ER,Elektritooriistade ostmine,17396
NJ,Sleeve CrNiMo-Stahl/Stainless steel (John Crane)  6 tk,17395
ER,Transpordi- ja kraanateenuste ostmine.,17374
ER,Emailtraadi ostmine,17353
ER,Metallkonstruktsioonide varvimise teenuse ostmine,17342
NJ,Vajumismarkide paigaldamise projekti valjatootamine,17342
ER,ulegabariidiliste autovedude teenuse ostmine,17342
ER,Metallkonstruktsioonide varvimise teenuse ostmine,17342
ER,Teraste ostmine.,17318
NJ,Spare parts for 602S (PCME),17304
NJ,Laagrite ostmine,17267
NT, PUHASTUSVAHENDITE OST,17236
NJ,Laagrite ostmine,17187
NJ,Oil station FLM-1/5HLA-1.4-1 (ASSALUB) - 2 tk,17170
ER,Metalli ostmine,17169
NJ,Oil station FLM-1/5HLA-1.4-1 (Assalub) - 2 tk,17155
ER,Teraste ostmine.,17135
NJ,Filtride ostmine,17109
NJ,"Eesti Elektrijaama keemilise veepuhastuse koaguleeritud vee mahuti 
V = 100 m3 sisepinna keemiakaitse ",17078
NT,Mustmetallide ostmine,17075
NJ,Mehaaniliste tihendite ostmine ,17063
NJ,Seadmete Endress+Hauser ostmine,17062
NJ,Enefit 140 olitehase keskjuhtimiskilbi 2 konditsioneeri asendamine,17044
ER,Kivivillakoorikute ostmine,17044
NJ,Varuosade KYTOLA ostmine,17039
ER,Terastoodete ostmine,17030
NT,Toojalatsite ostmine,17027
NJ,Roostevaba toodete ostmine,17010
NJ,Eesti elektrijaama ploki nr 5. 6 ja 3. 4 korstnatel asuva kahe telfri remont,17000
EK,Automatiseeritud tiibvaravate ostmine koos paigaldusega,16992
NJ,Ttrafo ???-100/0.5 �???4. U??-380 V. U??-36 V soetamiseks komplektis elektrikilbiga,16991
ER,Kovasulamplaatide ostmine,16990
NJ,Balti Elektrijaama peakorpuse 6 ukse asendamine tuletokkeustega,16965
NJ,Balti Elektrijaama olmehoone du�iruumi remont,16965
EE,Detailplaneeringu koostamine Pohjaterritooriumi  kinnistu osa kohta (85101:012:0160),16965
NJ,Varuosade valmistamine,16965
ER,Teraste S355J2 ostmine,16947
ER,Laagrite ostmine,16934
NJ,Asbestivaba termoisolatsiooni papi ostmine,16927
EK,Spordikaamerate ostmine,16915
ER,Ehitusmaterjalid. Ostmine,16909
NJ,Torude ostmine,16902
NJ,Keemiliste reagentide ja varuosade laboriseadmete jaoks ostmine,16898
NJ,Ehitusmaterjalide ostmine,16881
ER,Terase S355NH ostmine,16859
NT,Mustmetallist toodete ost,16834
EE,Iru elektrijaama auruturbiinile vaakumauruezektori ostmine/ Supply of the steam jet ejector DN40 for Iru Power Plant steam turbine,16833
EK,Estonia kaevanduse energeetika jaoskonna automaatika tookoda ruumi remonditeenuse ostmine,16822
ER,Saematerjalide ja vineeri ostmine,16803
ER,Elektrikomponentide ostmine,16787
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,16777
NJ,Converter MicroMaster 440 (Siemens) - 2 tk,16769
NJ,Sensors DRaGER,16739
ER,Kraanateenuse osutamine,16739
ER,Terastoodete ostmine,16721
EK,55kW elektrimootori ostmine,16701
NJ,Voolikute ostmine ,16671
ER,Mahuti pohjade ostmine,16663
ER,Mootevahendite kalibreerimine,16658
ER,Metall.Ostmine,16641
NJ,Varuosade Grundfos ostmine,16633
ER,Laager ostmine,16626
ER,Terasprofiilide S355J2 ostmine.,16596
NJ,Poltide valmistamine,16588
NJ,Metallide ostmine ,16575
ER,Teraslehtede S235JR ostmine,16551
ER,Elektrikomponentide ostmine ,16513
ER,Pusimagnetite ostmine,16494
NJ,Voith Turbo varuosade ostmine,16457
ER,Konveieri paneeli programmeerimis- ja haalestustood,16433
ER,Invertori ostmine,16422
NJ,Varuosade ja seadmete detailide remont,16362
NJ,Varuosade valmistamine,16350
NJ,Intensive-Filter filtri varuosade ostmine,16324
NJ,Eesti elektrijaama KVP osakonna H-kationiitfiltri nr.2 sisepinnale korrosioonikaitsekatte pealekandmine,16286
NJ,Eesti elektrijaama korstna nr 1 (H-250m) otsa ohtlike defektide korvaldamine,16286
NJ,Tulekindlate lehtede ostmine ,16286
ER,Elektrikomponentide ostmine,16223
NJ,Antiscalant DS 154 voi PermaTreat PC-191T ostmine,16211
EK,Keevirusseadme ostmine,16211
NJ,Kraana metallist katsetusrakiste ja betoonist katsetuskoormuste remont ja varvimine,16211
NJ,pH electrode code Z08362=?=2000 for Polymetron 9135 (Hach Lange) - 9 tk,16185
NJ,Balti Elektrijaama keemilise veepuhastuse H-kationiitfiltri H1-3 V = 43 m3 alumise drenaa�isusteemi remont ja pohja katmine keemilise kaitsekattega,16162
EK,Peatoitekaabli vahetamise teenuse ostmine,16117
EK,Sammuva ekskavaatori vollide ostmine,16105
EE,Iru elektrijaama turbiini stoppklapile (HORA) varuosade ostmine,16083
NJ,Seadmete Pepperl+Fuchs ostmine,16067
NJ,ulipuhta vee saamiseseks seadme ostmine,16064
NJ,Tehnilise trinaatriumfosfaadi CAS 7601-54-9. EEC 231-509-8 ostmine,16015
EE,Infokaitseteenuse osutamine Eesti Energia AS-le ja tema tutarettevotjatele,16004
NJ,Varuosade valmistamine,15992
NJ,Sulgearmatuuri Belven ostmine,15985
NJ,Tulekindlate varuosade valmistamine,15985
NJ,Servovalve D761-2766  type S20FOFB4VBL with  test sertificate (Moog) with spare parts,15973
ER,Elektrikomponentide ostmine,15971
ER,Elektrikomponentide ostmine,15963
NJ,Varuosade valmistamine,15962
ER,Torustikutugi. Ostmine.,15949
NJ,Reducer KA97/A for gear motor serial nr.64.7195126601.1 (SEW Eurodrive) / ???????? - 2 tk,15947
ER,Teraste ostmine,15930
NJ,Eesti Elektrijaama korstna nr 2 ning ploki nr 7 ja 8 vahelise magistraal-gaasikaigu vuukide taastamine,15909
ER,Elektriprojekteerimisteenuse osutamine,15891
NJ,Flowmeter Prosonic 93WA1-BB1B10ACAEAB (Endress+Hauser) - 1 tk,15873
NJ,Flowmeter Prosonic 93WA1-BB1B10ACAEAB (Endress+Hauser),15873
NJ,Keemiliste reagentide ostmine,15865
ER,ulegabariidiliste autovedude teenuse ostmine,15834
NJ,Tulekindla segu ostmine,15834
NJ,Laagrite ostmine,15834
NJ,Varuosade valmistamine,15834
NJ,Varuosade reduktorile DANFOSS BAUER ostmine,15814
